Time_s,Altitude_m,Velocity_ms,Mass_kg,Weight_N,Thrust_N,Drag_N,Acceleration_ms2,Temp_K,Press_Pa,Density_kgm3,Speed_of_Sound_ms,Mach_Number,Mass_Flow_Rate_kgs
69.3,58106.9366991581,955.40922387177,16512.2525940041,159070.351974565,110000,1886.90435936949,-3.08602693931889,250.750577242357,94.7054537942327,0.00131598564274828,317.413896885406,3.00997918883399,24.2706664725013
69.4,58202.4776215453,955.100621177838,16509.8255273569,159042.243903748,110000,1864.60895727502,-3.08342767018766,250.483062659673,93.5470067028181,0.00130127664156384,317.244534352692,3.0106133211298,24.2706664725013
69.5,58297.9876836631,954.792278410819,16507.3984607096,159014.138959952,110000,1842.58430278662,-3.08084422774349,250.215634485743,92.4029918521895,0.00128673671709602,317.075136105579,3.01124928979891,24.2706664725013
69.6,58393.4669115042,954.484193988045,16504.9713940624,158986.037140911,110000,1820.8270132769,-3.07827641388494,249.948292647788,91.2732258711412,0.00127236387127279,316.905702040656,3.01188709398984,24.2706664725013
69.7,58488.915330903,954.176366346656,16502.5443274151,158957.938444364,110000,1799.33374971626,-3.07572403303649,249.681037073472,90.1575277682584,0.00125815613030755,316.736232054561,3.01252673291349,24.2706664725013
69.8,58584.3329675376,953.868793943352,16500.1172607679,158929.842868062,110000,1778.10121609007,-3.07318689211499,249.413867690895,89.0557189002975,0.00124411154439509,316.566726043976,3.01316820584248,24.2706664725013
69.9,58679.719846932,953.561475254141,16497.6901941206,158901.750409762,110000,1757.12615882404,-3.07066480049674,249.14678442859,87.9676229409983,0.0012302281874114,316.397183905621,3.01381151211061,24.2706664725013
70,58775.0759944574,953.254408774091,16495.2631274734,158873.661067233,110000,1736.40536621758,-3.06815756998491,248.879787215519,86.8930658503218,0.00121650415661735,316.227605536259,3.0144566511123,24.2706664725013
70.1,58870.4014353348,952.947593017093,16492.8360608261,158845.574838249,110000,1715.93566788508,-3.06566501477741,248.612875981063,85.8318758441084,0.00120293757236631,316.057990832681,3.01510362230195,24.2706664725013
70.2,58965.6961946365,952.641026515615,16490.4089941789,158817.491720595,110000,1695.71393420504,-3.06318695143529,248.346050655018,84.7838833641485,0.00118952657781545,315.888339691712,3.01575242519346,24.2706664725013
70.3,59060.9602972881,952.334707820472,16487.9819275316,158789.411712063,110000,1675.73707577678,-3.0607231988515,248.079311167593,83.7489210486617,0.00117626933864079,315.718652010202,3.01640305935963,24.2706664725013
70.4,59156.1937680701,952.028635500586,16485.5548608844,158761.334810456,110000,1656.00204288484,-3.0582735782201,247.812657449404,82.7268237031783,0.00116316404275594,315.548927685027,3.01705552443163,24.2706664725013
70.5,59251.3966316202,951.722808142764,16483.1277942371,158733.261013581,110000,1636.50582497076,-3.05583791300594,247.546089431463,81.7174282718175,0.00115020890003453,315.379166613082,3.01770982009846,24.2706664725013
70.6,59346.5689124344,951.417224351464,16480.7007275899,158705.190319256,110000,1617.24545011223,-3.05341602891467,247.279607045184,80.7205738089555,0.0011374021420361,315.209368691279,3.01836594610643,24.2706664725013
